No.,Word,Pinyin,POS,Topic,Definition,HSK Level
360,东,dōng,名词,旅行与交通,east,HSK 2.0 Level 3
361,动物,dòngwù,名词,科技与环境,animal,HSK 2.0 Level 3
362,短,duǎn,形容词,日常生活与情感,short; brief,HSK 2.0 Level 3
363,段,duàn,量词,语法功能词,section; paragraph,HSK 2.0 Level 3
364,锻炼,duànliàn,动词,健康与运动,to exercise; to work out,HSK 2.0 Level 3
365,多么,duōme,副词,语法功能词,how; what,HSK 2.0 Level 3
366,饿,è,形容词,日常生活与情感,hungry,HSK 2.0 Level 3
367,而且,érqiě,连词,语法功能词,moreover; furthermore,HSK 2.0 Level 3
368,耳朵,ěrduo,名词,健康与运动,ear,HSK 2.0 Level 3
369,发烧,fāshāo,动词,健康与运动,to have a fever,HSK 2.0 Level 3
370,发现,fāxiàn,动词,日常生活与情感,to discover; to find,HSK 2.0 Level 3
371,方便,fāngbiàn,形容词,日常生活与情感,convenient,HSK 2.0 Level 3
372,放,fàng,动词,日常生活与情感,to put; to place,HSK 2.0 Level 3
373,放心,fàngxīn,动词,日常生活与情感,to rest assured; to feel relieved,HSK 2.0 Level 3
374,分,fēn,量词,语法功能词,minute; point; cent,HSK 2.0 Level 3
375,附近,fùjìn,名词,旅行与交通,nearby; vicinity,HSK 2.0 Level 3
376,复习,fùxí,动词,职场与教育,to review; to revise,HSK 2.0 Level 3
377,干净,gānjìng,形容词,日常生活与情感,clean; neat,HSK 2.0 Level 3
378,敢,gǎn,动词,日常生活与情感,to dare; to venture,HSK 2.0 Level 3
379,感冒,gǎnmào,动词,健康与运动,to catch a cold; common cold,HSK 2.0 Level 3
380,刚才,gāngcái,名词,日常生活与情感,just now; a moment ago,HSK 2.0 Level 3
381,跟,gēn,介词,语法功能词,with; to follow,HSK 2.0 Level 3
382,根据,gēnjù,介词,语法功能词,according to; on the basis of,HSK 2.0 Level 3
383,更,gèng,副词,语法功能词,more; even more,HSK 2.0 Level 3
384,公园,gōngyuán,名词,消费与休闲,park,HSK 2.0 Level 3
385,故事,gùshi,名词,消费与休闲,story; tale,HSK 2.0 Level 3
386,刮风,guā fēng,动词,科技与环境,to blow (wind); windy,HSK 2.0 Level 3
387,关,guān,动词,日常生活与情感,to close; to shut; to turn off,HSK 2.0 Level 3
388,关系,guānxì,名词,人际交往,relationship; relation,HSK 2.0 Level 3
389,关心,guānxīn,动词,人际交往,to care about; to be concerned about,HSK 2.0 Level 3
390,关于,guānyú,介词,语法功能词,about; regarding,HSK 2.0 Level 3
391,国家,guójiā,名词,旅行与交通,country; nation,HSK 2.0 Level 3
392,果汁,guǒzhī,名词,日常生活与情感,fruit juice; juice,HSK 2.0 Level 3
393,过去,guòqù,名词,日常生活与情感,past; in the past,HSK 2.0 Level 3
394,还是,háishì,连词,语法功能词,or; still,HSK 2.0 Level 3
395,害怕,hàipà,动词,日常生活与情感,to be afraid; to fear,HSK 2.0 Level 3
396,河,hé,名词,科技与环境,river,HSK 2.0 Level 3
397,黑板,hēibǎn,名词,职场与教育,blackboard; chalkboard,HSK 2.0 Level 3
398,护照,hùzhào,名词,旅行与交通,passport,HSK 2.0 Level 3
399,花（动）,huā,动词,消费与休闲,to spend (money or time),HSK 2.0 Level 3
400,花园,huāyuán,名词,日常生活与情感,garden,HSK 2.0 Level 3
401,画,huà,动词,消费与休闲,to draw; to paint,HSK 2.0 Level 3
402,坏,huài,形容词,日常生活与情感,bad; broken,HSK 2.0 Level 3
403,还,huán,副词,语法功能词,still; yet; also,HSK 2.0 Level 3
404,环境,huánjìng,名词,科技与环境,environment; surroundings,HSK 2.0 Level 3
405,换,huàn,动词,消费与休闲,to change; to exchange,HSK 2.0 Level 3
406,黄,huáng,形容词,日常生活与情感,yellow,HSK 2.0 Level 3
407,会议,huìyì,名词,职场与教育,meeting; conference,HSK 2.0 Level 3
408,或者,huòzhě,连词,语法功能词,or,HSK 2.0 Level 3
409,机会,jīhuì,名词,职场与教育,opportunity; chance,HSK 2.0 Level 3
410,几乎,jīhū,副词,语法功能词,almost; nearly,HSK 2.0 Level 3
411,极,jí,副词,语法功能词,extremely; highly,HSK 2.0 Level 3
412,记得,jìde,动词,日常生活与情感,to remember,HSK 2.0 Level 3
413,季节,jìjié,名词,科技与环境,season,HSK 2.0 Level 3
414,检查,jiǎnchá,动词,健康与运动,to check; to examine,HSK 2.0 Level 3
415,简单,jiǎndān,形容词,职场与教育,simple; uncomplicated,HSK 2.0 Level 3
416,健康,jiànkāng,形容词,健康与运动,healthy,HSK 2.0 Level 3
417,见面,jiànmiàn,动词,人际交往,to meet; to see each other,HSK 2.0 Level 3
418,讲,jiǎng,动词,职场与教育,to speak; to explain; to tell,HSK 2.0 Level 3
419,教,jiāo,动词,职场与教育,to teach,HSK 2.0 Level 3
420,角,jiǎo,量词,语法功能词,dime; ten cents; corner,HSK 2.0 Level 3
421,脚,jiǎo,名词,健康与运动,foot,HSK 2.0 Level 3
422,接,jiē,动词,人际交往,to meet; to pick up; to receive,HSK 2.0 Level 3
423,街道,jiēdào,名词,旅行与交通,street,HSK 2.0 Level 3
424,结婚,jiéhūn,动词,人际交往,to marry; to get married,HSK 2.0 Level 3
425,结束,jiéshù,动词,职场与教育,to end; to finish,HSK 2.0 Level 3
426,节目,jiémù,名词,消费与休闲,program; show,HSK 2.0 Level 3
427,节日,jiérì,名词,消费与休闲,festival; holiday,HSK 2.0 Level 3
428,解决,jiějué,动词,职场与教育,to solve; to settle,HSK 2.0 Level 3
429,借,jiè,动词,消费与休闲,to borrow; to lend,HSK 2.0 Level 3
430,经常,jīngcháng,副词,语法功能词,often; frequently,HSK 2.0 Level 3
431,经过,jīngguò,动词,旅行与交通,to pass; to go through; through,HSK 2.0 Level 3
432,经理,jīnglǐ,名词,职场与教育,manager,HSK 2.0 Level 3
433,久,jiǔ,形容词,日常生活与情感,for a long time; long,HSK 2.0 Level 3
434,旧,jiù,形容词,日常生活与情感,old; worn; past,HSK 2.0 Level 3
435,举行,jǔxíng,动词,职场与教育,"to hold; to host (a meeting, ceremony)",HSK 2.0 Level 3
436,句子,jùzi,名词,职场与教育,sentence,HSK 2.0 Level 3
437,决定,juédìng,动词,职场与教育,to decide; decision,HSK 2.0 Level 3
438,渴,kě,形容词,日常生活与情感,thirsty,HSK 2.0 Level 3
439,可爱,kě'ài,形容词,日常生活与情感,cute; lovely; amiable,HSK 2.0 Level 3
440,刻,kè,量词,语法功能词,quarter (of an hour),HSK 2.0 Level 3
441,客人,kèrén,名词,人际交往,guest; visitor,HSK 2.0 Level 3
442,空调,kōngtiáo,名词,日常生活与情感,air conditioner,HSK 2.0 Level 3
443,口,kǒu,量词,语法功能词,measure word for family members or mouthfuls,HSK 2.0 Level 3
444,哭,kū,动词,日常生活与情感,to cry; to weep,HSK 2.0 Level 3
445,裤子,kùzi,名词,日常生活与情感,trousers; pants,HSK 2.0 Level 3
446,筷子,kuàizi,名词,日常生活与情感,chopsticks,HSK 2.0 Level 3
447,蓝,lán,形容词,日常生活与情感,blue,HSK 2.0 Level 3
448,老,lǎo,形容词,人际交往,old; aged,HSK 2.0 Level 3
449,离开,líkāi,动词,旅行与交通,to leave; to depart,HSK 2.0 Level 3
450,礼物,lǐwù,名词,人际交往,gift; present,HSK 2.0 Level 3
451,历史,lìshǐ,名词,职场与教育,history,HSK 2.0 Level 3
452,脸,liǎn,名词,健康与运动,face,HSK 2.0 Level 3
453,练习,liànxí,动词,职场与教育,to practice; exercise,HSK 2.0 Level 3
454,辆,liàng,量词,语法功能词,measure word for vehicles,HSK 2.0 Level 3
455,了解,liǎojiě,动词,人际交往,to understand; to know about,HSK 2.0 Level 3
456,邻居,línjū,名词,人际交往,neighbor,HSK 2.0 Level 3
457,楼,lóu,名词,日常生活与情感,building; floor,HSK 2.0 Level 3
458,绿,lǜ,形容词,日常生活与情感,green,HSK 2.0 Level 3
459,马,mǎ,名词,科技与环境,horse,HSK 2.0 Level 3
460,马上,mǎshàng,副词,语法功能词,immediately; at once,HSK 2.0 Level 3
461,满意,mǎnyì,形容词,日常生活与情感,satisfied; pleased,HSK 2.0 Level 3
462,帽子,màozi,名词,日常生活与情感,hat; cap,HSK 2.0 Level 3
463,米,mǐ,名词,旅行与交通,meter,HSK 2.0 Level 3
464,面包,miànbāo,名词,日常生活与情感,bread,HSK 2.0 Level 3
465,面条,miàntiáo,名词,日常生活与情感,noodles,HSK 2.0 Level 3
466,明白,míngbai,动词,职场与教育,to understand; clear,HSK 2.0 Level 3
467,拿,ná,动词,日常生活与情感,to take; to hold,HSK 2.0 Level 3
468,奶奶,nǎinai,名词,日常生活与情感,paternal grandmother; grandma,HSK 2.0 Level 3
469,南,nán,名词,旅行与交通,south,HSK 2.0 Level 3
470,难,nán,形容词,职场与教育,difficult; hard,HSK 2.0 Level 3
471,难过,nánguò,形容词,日常生活与情感,sad; hard to bear,HSK 2.0 Level 3
472,年级,niánjí,名词,职场与教育,grade; year (in school),HSK 2.0 Level 3
473,年轻,niánqīng,形容词,日常生活与情感,young,HSK 2.0 Level 3
474,鸟,niǎo,名词,科技与环境,bird,HSK 2.0 Level 3
475,努力,nǔlì,形容词,职场与教育,hardworking; diligent,HSK 2.0 Level 3
476,爬山,páshān,动词,健康与运动,to climb mountains; hiking,HSK 2.0 Level 3
477,盘子,pánzi,名词,日常生活与情感,plate; tray,HSK 2.0 Level 3
478,胖,pàng,形容词,健康与运动,fat; plump,HSK 2.0 Level 3
479,啤酒,píjiǔ,名词,消费与休闲,beer,HSK 2.0 Level 3
480,葡萄,pútao,名词,日常生活与情感,grape,HSK 2.0 Level 3
481,普通话,pǔtōnghuà,名词,职场与教育,Mandarin Chinese,HSK 2.0 Level 3
482,骑,qí,动词,旅行与交通,"to ride (a bike, horse)",HSK 2.0 Level 3
483,其实,qíshí,副词,语法功能词,actually; in fact,HSK 2.0 Level 3
484,其他,qítā,代词,语法功能词,other; else,HSK 2.0 Level 3
485,奇怪,qíguài,形容词,日常生活与情感,strange; odd,HSK 2.0 Level 3
486,铅笔,qiānbǐ,名词,职场与教育,pencil,HSK 2.0 Level 3
487,清楚,qīngchu,形容词,人际交往,clear; distinct,HSK 2.0 Level 3
488,秋,qiū,名词,科技与环境,autumn; fall,HSK 2.0 Level 3
489,裙子,qúnzi,名词,日常生活与情感,skirt; dress,HSK 2.0 Level 3
490,然后,ránhòu,连词,语法功能词,then; afterwards,HSK 2.0 Level 3
491,热情,rèqíng,形容词,人际交往,enthusiastic; warm,HSK 2.0 Level 3
492,认为,rènwéi,动词,职场与教育,to think; to believe,HSK 2.0 Level 3
493,认真,rènzhēn,形容词,职场与教育,serious; conscientious,HSK 2.0 Level 3
494,容易,róngyì,形容词,职场与教育,easy; simple,HSK 2.0 Level 3
495,如果,rúguǒ,连词,语法功能词,if; in case,HSK 2.0 Level 3
496,伞,sǎn,名词,日常生活与情感,umbrella,HSK 2.0 Level 3
497,上网,shàngwǎng,动词,科技与环境,to surf the internet; to go online,HSK 2.0 Level 3
498,生气,shēngqì,动词,日常生活与情感,to get angry; angry,HSK 2.0 Level 3
499,声音,shēngyīn,名词,日常生活与情感,voice; sound,HSK 2.0 Level 3
500,使,shǐ,动词,语法功能词,to make; to cause; to enable,HSK 2.0 Level 3
501,世界,shìjiè,名词,科技与环境,world,HSK 2.0 Level 3
502,瘦,shòu,形容词,健康与运动,thin; slim,HSK 2.0 Level 3
503,舒服,shūfu,形容词,健康与运动,comfortable,HSK 2.0 Level 3
504,叔叔,shūshu,名词,人际交往,uncle,HSK 2.0 Level 3
505,树,shù,名词,科技与环境,tree,HSK 2.0 Level 3
506,数学,shùxué,名词,职场与教育,mathematics; math,HSK 2.0 Level 3
507,刷牙,shuā yá,动词,健康与运动,to brush one's teeth,HSK 2.0 Level 3
508,双,shuāng,量词,语法功能词,pair; couple,HSK 2.0 Level 3
509,水平,shuǐpíng,名词,职场与教育,level; standard,HSK 2.0 Level 3
510,司机,sījī,名词,旅行与交通,driver,HSK 2.0 Level 3
511,虽然,suīrán,连词,语法功能词,although; though,HSK 2.0 Level 3
512,太阳,tàiyáng,名词,科技与环境,sun,HSK 2.0 Level 3
513,糖,táng,名词,日常生活与情感,sugar; candy,HSK 2.0 Level 3
514,特别,tèbié,副词,语法功能词,especially; special,HSK 2.0 Level 3
515,疼,téng,形容词,健康与运动,painful; sore,HSK 2.0 Level 3
516,提高,tígāo,动词,职场与教育,to improve; to raise,HSK 2.0 Level 3
517,体育,tǐyù,名词,健康与运动,physical education; sports,HSK 2.0 Level 3
518,甜,tián,形容词,日常生活与情感,sweet,HSK 2.0 Level 3
519,条,tiáo,量词,语法功能词,"measure word for long, thin objects",HSK 2.0 Level 3
520,同事,tóngshì,名词,职场与教育,colleague; co-worker,HSK 2.0 Level 3
521,同意,tóngyì,动词,职场与教育,to agree; to consent,HSK 2.0 Level 3
522,头发,tóufa,名词,健康与运动,hair,HSK 2.0 Level 3
523,突然,tūrán,形容词,日常生活与情感,sudden; unexpected; suddenly,HSK 2.0 Level 3
524,图书馆,túshūguǎn,名词,职场与教育,library,HSK 2.0 Level 3
525,腿,tuǐ,名词,健康与运动,leg,HSK 2.0 Level 3
526,完成,wánchéng,动词,职场与教育,to complete; to accomplish,HSK 2.0 Level 3
527,碗,wǎn,名词,日常生活与情感,bowl,HSK 2.0 Level 3
528,万,wàn,数词,语法功能词,ten thousand,HSK 2.0 Level 3
529,忘记,wàngjì,动词,日常生活与情感,to forget,HSK 2.0 Level 3
530,位,wèi,量词,语法功能词,measure word for people (polite),HSK 2.0 Level 3
531,为,wèi,介词,语法功能词,for; because of,HSK 2.0 Level 3
532,为了,wèile,介词,语法功能词,for; for the sake of; in order to,HSK 2.0 Level 3
533,文化,wénhuà,名词,职场与教育,culture; civilization,HSK 2.0 Level 3
534,西,xī,名词,旅行与交通,west,HSK 2.0 Level 3
535,习惯,xíguàn,动词,日常生活与情感,to be used to; habit,HSK 2.0 Level 3
536,洗手间,xǐshǒujiān,名词,日常生活与情感,restroom; toilet,HSK 2.0 Level 3
537,洗澡,xǐzǎo,动词,健康与运动,to take a bath; to shower,HSK 2.0 Level 3
538,夏,xià,名词,科技与环境,summer,HSK 2.0 Level 3
539,先,xiān,副词,语法功能词,first; beforehand,HSK 2.0 Level 3
540,香蕉,xiāngjiāo,名词,日常生活与情感,banana,HSK 2.0 Level 3
541,相同,xiāngtóng,形容词,日常生活与情感,same; identical,HSK 2.0 Level 3
542,相信,xiāngxìn,动词,人际交往,to believe; to trust,HSK 2.0 Level 3
543,像,xiàng,动词,日常生活与情感,to look like; similar to,HSK 2.0 Level 3
544,小心,xiǎoxīn,形容词,健康与运动,careful; cautious,HSK 2.0 Level 3
545,校长,xiàozhǎng,名词,职场与教育,principal; headmaster; chancellor,HSK 2.0 Level 3
546,鞋,xié,名词,日常生活与情感,shoes,HSK 2.0 Level 3
547,新闻,xīnwén,名词,科技与环境,news,HSK 2.0 Level 3
548,新鲜,xīnxiān,形容词,科技与环境,fresh,HSK 2.0 Level 3
549,信,xìn,名词,人际交往,letter; mail,HSK 2.0 Level 3
550,行李箱,xínglixiāng,名词,旅行与交通,suitcase; luggage,HSK 2.0 Level 3
551,兴趣,xìngqù,名词,消费与休闲,interest; hobby,HSK 2.0 Level 3
552,熊猫,xióngmāo,名词,科技与环境,panda,HSK 2.0 Level 3
553,需要,xūyào,动词,日常生活与情感,to need; to require,HSK 2.0 Level 3
554,选择,xuǎnzé,动词,职场与教育,to choose; to select; choice,HSK 2.0 Level 3
555,眼镜,yǎnjìng,名词,健康与运动,glasses; spectacles,HSK 2.0 Level 3
556,要求,yāoqiú,名词,职场与教育,requirement; demand; to request,HSK 2.0 Level 3
557,爷爷,yéye,名词,日常生活与情感,paternal grandfather; grandpa,HSK 2.0 Level 3
558,一定,yídìng,副词,语法功能词,definitely; certainly,HSK 2.0 Level 3
559,一共,yígòng,副词,语法功能词,altogether; in total,HSK 2.0 Level 3
560,一会儿,yíhuìr,名词,日常生活与情感,a moment; a little while,HSK 2.0 Level 3
561,一样,yíyàng,形容词,日常生活与情感,same; alike,HSK 2.0 Level 3
562,以后,yǐhòu,名词,日常生活与情感,after; afterwards; later,HSK 2.0 Level 3
563,以前,yǐqián,名词,日常生活与情感,before; formerly,HSK 2.0 Level 3
564,以为,yǐwéi,动词,日常生活与情感,to think (mistakenly); to assume,HSK 2.0 Level 3
565,一般,yìbān,形容词,日常生活与情感,general; ordinary; usually,HSK 2.0 Level 3
566,一边,yìbiān,副词,语法功能词,simultaneously; on one side,HSK 2.0 Level 3
567,一直,yìzhí,副词,语法功能词,straight; continuously; always,HSK 2.0 Level 3
568,音乐,yīnyuè,名词,消费与休闲,music,HSK 2.0 Level 3
569,银行,yínháng,名词,消费与休闲,bank,HSK 2.0 Level 3
570,应该,yīnggāi,动词,语法功能词,should; ought to,HSK 2.0 Level 3
571,影响,yǐngxiǎng,动词,人际交往,to influence; to affect; impact,HSK 2.0 Level 3
572,用,yòng,动词,日常生活与情感,to use,HSK 2.0 Level 3
573,游戏,yóuxì,名词,消费与休闲,game; play,HSK 2.0 Level 3
574,有名,yǒumíng,形容词,消费与休闲,famous; well-known,HSK 2.0 Level 3
575,又,yòu,副词,语法功能词,again; moreover,HSK 2.0 Level 3
576,遇到,yùdào,动词,人际交往,to meet; to run into; to encounter,HSK 2.0 Level 3
577,愿意,yuànyì,动词,语法功能词,to be willing; to wish,HSK 2.0 Level 3
578,越,yuè,副词,语法功能词,more; to exceed,HSK 2.0 Level 3
579,月亮,yuèliang,名词,科技与环境,moon,HSK 2.0 Level 3
580,云,yún,名词,科技与环境,cloud,HSK 2.0 Level 3
581,站,zhàn,动词,旅行与交通,to stand; station; stop,HSK 2.0 Level 3
582,长,zhǎng,动词,日常生活与情感,to grow; to develop,HSK 2.0 Level 3
583,着急,zháojí,形容词,日常生活与情感,anxious; worried,HSK 2.0 Level 3
584,照顾,zhàogù,动词,人际交往,to look after; to take care of,HSK 2.0 Level 3
585,照片,zhàopiàn,名词,消费与休闲,photo; picture,HSK 2.0 Level 3
586,照相机,zhàoxiàngjī,名词,消费与休闲,camera,HSK 2.0 Level 3
587,中间,zhōngjiān,名词,日常生活与情感,middle; center,HSK 2.0 Level 3
588,终于,zhōngyú,副词,语法功能词,finally; at last,HSK 2.0 Level 3
589,种,zhǒng,量词,语法功能词,kind; type; sort,HSK 2.0 Level 3
590,重要,zhòngyào,形容词,职场与教育,important; significant,HSK 2.0 Level 3
591,周末,zhōumò,名词,消费与休闲,weekend,HSK 2.0 Level 3
592,主要,zhǔyào,形容词,语法功能词,main; principal; chief,HSK 2.0 Level 3
593,祝,zhù,动词,人际交往,to wish; to express good wishes,HSK 2.0 Level 3
594,注意,zhùyì,动词,健康与运动,to pay attention to; to note,HSK 2.0 Level 3
595,字典,zìdiǎn,名词,职场与教育,dictionary,HSK 2.0 Level 3
596,自己,zìjǐ,代词,语法功能词,oneself; own,HSK 2.0 Level 3
597,总是,zǒngshì,副词,语法功能词,always,HSK 2.0 Level 3
598,最近,zuìjìn,名词,日常生活与情感,recently; lately,HSK 2.0 Level 3
599,作业,zuòyè,名词,职场与教育,homework; school assignment,HSK 2.0 Level 3
600,作用,zuòyòng,名词,科技与环境,effect; function; role,HSK 2.0 Level 3
601,过（动）,guò,动词,日常生活与情感,to spend (time); to cross; to pass,HSK 2.0 Level 4
602,爱情,àiqíng,名词,日常生活与情感,love; romance,HSK 2.0 Level 4
603,安排,ānpái,动词,职场与教育,to arrange; to plan,HSK 2.0 Level 4
604,安全,ānquán,形容词,科技与环境,safe; secure,HSK 2.0 Level 4
605,暗,àn,形容词,科技与环境,dark; dim,HSK 2.0 Level 4
606,按时,ànshí,副词,语法功能词,on time; on schedule,HSK 2.0 Level 4
607,按照,ànzhào,介词,语法功能词,according to; in accordance with,HSK 2.0 Level 4
608,包括,bāokuò,动词,语法功能词,to include; to consist of,HSK 2.0 Level 4
609,保护,bǎohù,动词,科技与环境,to protect; to defend,HSK 2.0 Level 4
610,保证,bǎozhèng,动词,职场与教育,to guarantee; to ensure,HSK 2.0 Level 4
611,抱,bào,动词,日常生活与情感,to hug; to hold in arms,HSK 2.0 Level 4
612,抱歉,bàoqiàn,形容词,人际交往,sorry; apologetic,HSK 2.0 Level 4
613,报道,bàodào,动词,科技与环境,to report; news report,HSK 2.0 Level 4
614,报名,bàomíng,动词,职场与教育,to sign up; to register,HSK 2.0 Level 4
615,倍,bèi,量词,语法功能词,times; -fold,HSK 2.0 Level 4
616,本来,běnlái,副词,语法功能词,originally; at first,HSK 2.0 Level 4
617,笨,bèn,形容词,日常生活与情感,stupid; foolish,HSK 2.0 Level 4
618,笔记本,bǐjìběn,名词,科技与环境,notebook; laptop,HSK 2.0 Level 4
619,毕业,bìyè,动词,职场与教育,to graduate,HSK 2.0 Level 4
620,遍,biàn,量词,语法功能词,time (measure word for actions from beginning to end),HSK 2.0 Level 4
621,标准,biāozhǔn,名词,职场与教育,standard; criterion,HSK 2.0 Level 4
622,表达,biǎodá,动词,人际交往,to express; to voice,HSK 2.0 Level 4
623,表格,biǎogé,名词,职场与教育,form; table; chart,HSK 2.0 Level 4
624,表扬,biǎoyáng,动词,职场与教育,to praise; to commend,HSK 2.0 Level 4
625,饼干,bǐnggān,名词,日常生活与情感,biscuit; cookie,HSK 2.0 Level 4
626,并且,bìngqiě,连词,语法功能词,and; besides; moreover,HSK 2.0 Level 4
627,博士,bóshì,名词,职场与教育,doctor; PhD,HSK 2.0 Level 4
628,不但,búdàn,连词,语法功能词,not only,HSK 2.0 Level 4
629,不过,búguò,连词,语法功能词,but; however,HSK 2.0 Level 4
630,不得不,bùdébù,副词,语法功能词,have no choice but to; have to,HSK 2.0 Level 4
631,不管,bùguǎn,连词,语法功能词,no matter; regardless of,HSK 2.0 Level 4
632,不仅,bùjǐn,连词,语法功能词,not only; not just,HSK 2.0 Level 4
633,部分,bùfen,名词,语法功能词,part; section,HSK 2.0 Level 4
634,擦,cā,动词,日常生活与情感,to wipe; to erase,HSK 2.0 Level 4
635,猜,cāi,动词,日常生活与情感,to guess,HSK 2.0 Level 4
636,材料,cáiliào,名词,职场与教育,material; data,HSK 2.0 Level 4
637,参观,cānguān,动词,消费与休闲,to visit; to look around,HSK 2.0 Level 4
638,差不多,chàbuduō,形容词,日常生活与情感,almost; nearly; about the same,HSK 2.0 Level 4
639,尝,cháng,动词,日常生活与情感,to taste,HSK 2.0 Level 4
640,长城,Chángchéng,名词,旅行与交通,the Great Wall,HSK 2.0 Level 4
641,长江,Cháng Jiāng,名词,科技与环境,the Yangtze River,HSK 2.0 Level 4
642,场,chǎng,量词,语法功能词,"measure word for events, games, or movies",HSK 2.0 Level 4
643,超过,chāoguò,动词,科技与环境,to exceed; to surpass,HSK 2.0 Level 4
644,吵,chǎo,形容词,日常生活与情感,noisy; to make a noise,HSK 2.0 Level 4
645,成功,chénggōng,动词,职场与教育,to succeed; successful,HSK 2.0 Level 4
646,成熟,chéngshú,形容词,日常生活与情感,mature; ripe,HSK 2.0 Level 4
647,成为,chéngwéi,动词,日常生活与情感,to become; to turn into,HSK 2.0 Level 4
648,诚实,chéngshí,形容词,人际交往,honest,HSK 2.0 Level 4
649,乘坐,chéngzuò,动词,旅行与交通,to ride; to take (a vehicle),HSK 2.0 Level 4
650,吃惊,chījīng,动词,日常生活与情感,to be startled; to be shocked,HSK 2.0 Level 4
651,重新,chóngxīn,副词,语法功能词,again; anew,HSK 2.0 Level 4
652,抽烟,chōuyān,动词,健康与运动,to smoke,HSK 2.0 Level 4
653,出差,chūchāi,动词,职场与教育,to go on a business trip,HSK 2.0 Level 4
654,出发,chūfā,动词,旅行与交通,to set out; to start off,HSK 2.0 Level 4
655,出生,chūshēng,动词,日常生活与情感,to be born,HSK 2.0 Level 4
656,传真,chuánzhēn,名词,科技与环境,fax,HSK 2.0 Level 4
657,窗户,chuānghu,名词,日常生活与情感,window,HSK 2.0 Level 4
658,词典,cídiǎn,名词,职场与教育,dictionary,HSK 2.0 Level 4
659,从来,cónglái,副词,语法功能词,always; all along (usually in negative),HSK 2.0 Level 4
660,粗心,cūxīn,形容词,日常生活与情感,careless; thoughtless,HSK 2.0 Level 4
661,答案,dá'àn,名词,职场与教育,answer; solution,HSK 2.0 Level 4
662,打扮,dǎban,动词,日常生活与情感,to dress up; to deck out,HSK 2.0 Level 4
663,打扰,dǎrǎo,动词,人际交往,to disturb; to trouble,HSK 2.0 Level 4
664,打印,dǎyìn,动词,职场与教育,to print,HSK 2.0 Level 4
665,打折,dǎzhé,动词,消费与休闲,to give a discount,HSK 2.0 Level 4
666,打针,dǎzhēn,动词,健康与运动,to give or receive an injection,HSK 2.0 Level 4
667,大概,dàgài,副词,语法功能词,probably; roughly,HSK 2.0 Level 4
668,大使馆,dàshǐguǎn,名词,旅行与交通,embassy,HSK 2.0 Level 4
669,大约,dàyuē,副词,语法功能词,approximately; about,HSK 2.0 Level 4
670,戴,dài,动词,日常生活与情感,"to wear (accessories, hat, glasses)",HSK 2.0 Level 4
671,代表,dàibiǎo,动词,职场与教育,to represent; representative,HSK 2.0 Level 4
672,代替,dàitì,动词,职场与教育,to replace; to substitute,HSK 2.0 Level 4
673,大夫,dàifu,名词,健康与运动,doctor; medical practitioner,HSK 2.0 Level 4
674,当,dāng,动词,职场与教育,to serve as; to be,HSK 2.0 Level 4
675,当地,dāngdì,名词,旅行与交通,local; locality,HSK 2.0 Level 4
676,当时,dāngshí,名词,日常生活与情感,at that time; then,HSK 2.0 Level 4
677,刀,dāo,名词,日常生活与情感,knife,HSK 2.0 Level 4
678,导游,dǎoyóu,名词,旅行与交通,tour guide,HSK 2.0 Level 4
679,到处,dàochù,副词,语法功能词,everywhere,HSK 2.0 Level 4
680,到底,dàodǐ,副词,语法功能词,in the end; after all,HSK 2.0 Level 4
681,道歉,dàoqiàn,动词,人际交往,to apologize,HSK 2.0 Level 4
682,得意,déyì,形容词,日常生活与情感,proud of oneself; complacent,HSK 2.0 Level 4
683,得,děi,助词,语法功能词,(particle used after a verb to express possibility),HSK 2.0 Level 4
684,等（助）,děng,助词,语法功能词,and so on; etc.,HSK 2.0 Level 4
685,底,dǐ,名词,日常生活与情感,bottom; end of a year or month,HSK 2.0 Level 4
686,地球,dìqiú,名词,科技与环境,Earth,HSK 2.0 Level 4
687,地址,dìzhǐ,名词,人际交往,address,HSK 2.0 Level 4
688,掉,diào,动词,日常生活与情感,to fall; to drop; to lose,HSK 2.0 Level 4
689,调查,diàochá,动词,职场与教育,to investigate; survey,HSK 2.0 Level 4
690,丢,diū,动词,日常生活与情感,to lose; to throw away,HSK 2.0 Level 4
691,动作,dòngzuò,名词,健康与运动,movement; action,HSK 2.0 Level 4
692,堵车,dǔchē,动词,旅行与交通,traffic jam,HSK 2.0 Level 4
693,肚子,dùzi,名词,健康与运动,belly; stomach,HSK 2.0 Level 4
694,断,duàn,动词,日常生活与情感,to break; to snap; to cut off,HSK 2.0 Level 4
695,对（介）,duì,介词,语法功能词,to; towards; with regard to,HSK 2.0 Level 4
696,对话,duìhuà,名词,人际交往,dialogue; conversation,HSK 2.0 Level 4
697,对面,duìmiàn,名词,日常生活与情感,opposite side; across,HSK 2.0 Level 4
698,顿,dùn,量词,语法功能词,measure word for meals or scoldings,HSK 2.0 Level 4
699,朵,duǒ,量词,语法功能词,measure word for flowers or clouds,HSK 2.0 Level 4
700,而,ér,连词,语法功能词,and; but; while,HSK 2.0 Level 4
701,儿童,értóng,名词,日常生活与情感,children; child,HSK 2.0 Level 4
702,发,fā,动词,科技与环境,to send; to issue; to emit,HSK 2.0 Level 4
703,发生,fāshēng,动词,科技与环境,to happen; to occur,HSK 2.0 Level 4
