No.,Word,Pinyin,POS,Topic,Definition,HSK Level
357,花,huā,名词,科技与环境,flower; blossom,HSK 2.0 Level 2
358,花,huā,动词,消费与休闲,to spend (money or time),HSK 2.0 Level 2
359,画,huà,动词,消费与休闲,to draw; to paint,HSK 2.0 Level 2
360,坏,huài,形容词,日常生活与情感,bad; broken,HSK 2.0 Level 2
361,回来,huílái,动词,日常生活与情感,to come back; to return,HSK 2.0 Level 2
362,回去,huíqù,动词,日常生活与情感,to go back; to return,HSK 2.0 Level 2
363,机场,jīchǎng,名词,旅行与交通,airport,HSK 2.0 Level 2
364,机票,jīpiào,名词,旅行与交通,air ticket,HSK 2.0 Level 2
365,记得,jìde,动词,日常生活与情感,to remember,HSK 2.0 Level 2
366,间,jiān,量词,语法功能词,measure word for rooms,HSK 2.0 Level 2
367,教,jiāo,动词,职场与教育,to teach,HSK 2.0 Level 2
368,教室,jiàoshì,名词,职场与教育,classroom,HSK 2.0 Level 2
369,介绍,jièshào,动词,人际交往,to introduce; to recommend,HSK 2.0 Level 2
370,进,jìn,动词,旅行与交通,to enter; to go in,HSK 2.0 Level 2
371,近,jìn,形容词,日常生活与情感,near; close,HSK 2.0 Level 2
372,进来,jìnlái,动词,日常生活与情感,to come in; to enter,HSK 2.0 Level 2
373,进去,jìnqù,动词,日常生活与情感,to go in; to enter,HSK 2.0 Level 2
374,经常,jīngcháng,副词,语法功能词,often; frequently,HSK 2.0 Level 2
375,酒店,jiǔdiàn,名词,旅行与交通,hotel,HSK 2.0 Level 2
376,就,jiù,副词,语法功能词,then; at once; right away,HSK 2.0 Level 2
377,咖啡,kāfēi,名词,日常生活与情感,coffee,HSK 2.0 Level 2
378,开始,kāishǐ,动词,日常生活与情感,to begin; to start,HSK 2.0 Level 2
379,开学,kāixué,动词,职场与教育,to start a new term; school begins,HSK 2.0 Level 2
380,考,kǎo,动词,职场与教育,to take an exam; to test,HSK 2.0 Level 2
381,考试,kǎoshì,名词,职场与教育,examination; test,HSK 2.0 Level 2
382,可能,kěnéng,副词,语法功能词,maybe; possibly,HSK 2.0 Level 2
383,裤子,kùzi,名词,日常生活与情感,trousers; pants,HSK 2.0 Level 2
384,快,kuài,形容词,日常生活与情感,fast; quick,HSK 2.0 Level 2
385,快乐,kuàilè,形容词,日常生活与情感,happy; cheerful,HSK 2.0 Level 2
386,快要,kuàiyào,副词,语法功能词,about to; on the verge of; soon,HSK 2.0 Level 2
387,篮球,lánqiú,名词,健康与运动,basketball,HSK 2.0 Level 2
388,累,lèi,形容词,日常生活与情感,tired; weary,HSK 2.0 Level 2
389,离,lí,介词,语法功能词,away from; from,HSK 2.0 Level 2
390,里面,lǐmiàn,名词,日常生活与情感,inside; interior,HSK 2.0 Level 2
391,楼,lóu,名词,日常生活与情感,building; floor,HSK 2.0 Level 2
392,路,lù,名词,旅行与交通,road; route,HSK 2.0 Level 2
393,路上,lùshang,名词,旅行与交通,on the road; on the way,HSK 2.0 Level 2
394,旅游,lǚyóu,动词,旅行与交通,to travel; to tour,HSK 2.0 Level 2
395,绿茶,lǜchá,名词,日常生活与情感,green tea,HSK 2.0 Level 2
396,绿色,lǜsè,名词,日常生活与情感,green color; green,HSK 2.0 Level 2
397,慢,màn,形容词,日常生活与情感,slow,HSK 2.0 Level 2
398,没意思,méiyìsi,形容词,日常生活与情感,boring; uninteresting; dull,HSK 2.0 Level 2
399,每,měi,代词,语法功能词,every; each,HSK 2.0 Level 2
400,门,mén,名词,日常生活与情感,door; gate,HSK 2.0 Level 2
401,门口,ménkǒu,名词,旅行与交通,doorway; entrance,HSK 2.0 Level 2
402,门票,ménpiào,名词,消费与休闲,entrance ticket; admission ticket,HSK 2.0 Level 2
403,面,miàn,名词,日常生活与情感,face; surface; side,HSK 2.0 Level 2
404,名,míng,量词,语法功能词,measure word for people,HSK 2.0 Level 2
405,拿,ná,动词,日常生活与情感,to take; to hold,HSK 2.0 Level 2
406,那么,nàme,连词,语法功能词,so; then; in that case,HSK 2.0 Level 2
407,那样,nàyàng,代词,语法功能词,that kind; like that,HSK 2.0 Level 2
408,奶茶,nǎichá,名词,日常生活与情感,milk tea,HSK 2.0 Level 2
409,奶奶,nǎinai,名词,日常生活与情感,paternal grandmother; grandma,HSK 2.0 Level 2
410,男孩儿,nánháir,名词,日常生活与情感,boy,HSK 2.0 Level 2
411,鸟,niǎo,名词,科技与环境,bird,HSK 2.0 Level 2
412,女孩儿,nǚháir,名词,日常生活与情感,girl,HSK 2.0 Level 2
413,旁边,pángbiān,名词,日常生活与情感,side; beside,HSK 2.0 Level 2
414,跑,pǎo,动词,健康与运动,to run,HSK 2.0 Level 2
415,跑步,pǎobù,动词,健康与运动,to run; to jog,HSK 2.0 Level 2
416,票,piào,名词,消费与休闲,ticket,HSK 2.0 Level 2
417,妻子,qīzi,名词,日常生活与情感,wife,HSK 2.0 Level 2
418,起来,qǐlái,动词,语法功能词,to stand up; (indicating start or upward movement),HSK 2.0 Level 2
419,前面,qiánmiàn,名词,日常生活与情感,front; ahead,HSK 2.0 Level 2
420,晴,qíng,形容词,科技与环境,sunny; clear,HSK 2.0 Level 2
421,球,qiú,名词,健康与运动,ball; sphere,HSK 2.0 Level 2
422,让,ràng,动词,人际交往,to let; to allow; to make,HSK 2.0 Level 2
423,肉,ròu,名词,日常生活与情感,meat; flesh,HSK 2.0 Level 2
424,商场,shāngchǎng,名词,消费与休闲,shopping mall; market,HSK 2.0 Level 2
425,上来,shànglái,动词,旅行与交通,to come up; to approach,HSK 2.0 Level 2
426,上面,shàngmiàn,名词,日常生活与情感,above; on top of,HSK 2.0 Level 2
427,上去,shàngqù,动词,旅行与交通,to go up,HSK 2.0 Level 2
428,上网,shàngwǎng,动词,科技与环境,to surf the internet; to go online,HSK 2.0 Level 2
429,身体,shēntǐ,名词,健康与运动,body; health,HSK 2.0 Level 2
430,生日,shēngrì,名词,日常生活与情感,birthday,HSK 2.0 Level 2
431,时,shí,名词,日常生活与情感,time; when; hour,HSK 2.0 Level 2
432,事情,shìqing,名词,日常生活与情感,thing; matter; affair,HSK 2.0 Level 2
433,手,shǒu,名词,健康与运动,hand,HSK 2.0 Level 2
434,手表,shǒubiǎo,名词,消费与休闲,watch; wristwatch,HSK 2.0 Level 2
435,书包,shūbāo,名词,职场与教育,schoolbag; backpack,HSK 2.0 Level 2
436,舒服,shūfu,形容词,健康与运动,comfortable,HSK 2.0 Level 2
437,送,sòng,动词,人际交往,to deliver; to send; to give as a gift,HSK 2.0 Level 2
438,虽然,suīrán,连词,语法功能词,although; though,HSK 2.0 Level 2
439,所以,suǒyǐ,连词,语法功能词,so; therefore,HSK 2.0 Level 2
440,疼,téng,形容词,健康与运动,painful; sore,HSK 2.0 Level 2
441,踢,tī,动词,健康与运动,to kick,HSK 2.0 Level 2
442,题,tí,名词,职场与教育,question; topic; problem,HSK 2.0 Level 2
443,条,tiáo,量词,语法功能词,"measure word for long, thin objects",HSK 2.0 Level 2
444,跳舞,tiàowǔ,动词,消费与休闲,to dance,HSK 2.0 Level 2
445,头,tóu,名词,健康与运动,head; boss; chief,HSK 2.0 Level 2
446,外国,wàiguó,名词,旅行与交通,foreign country,HSK 2.0 Level 2
447,外面,wàimiàn,名词,日常生活与情感,outside; exterior,HSK 2.0 Level 2
448,完,wán,动词,日常生活与情感,to finish; to complete,HSK 2.0 Level 2
449,万,wàn,数词,语法功能词,ten thousand,HSK 2.0 Level 2
450,往,wǎng,介词,语法功能词,towards; to; head for,HSK 2.0 Level 2
451,网上,wǎngshang,名词,科技与环境,online; on the internet,HSK 2.0 Level 2
452,忘,wàng,动词,日常生活与情感,to forget,HSK 2.0 Level 2
453,位,wèi,量词,语法功能词,measure word for people (polite),HSK 2.0 Level 2
454,为什么,wèishénme,代词,语法功能词,why; for what reason,HSK 2.0 Level 2
455,希望,xīwàng,动词,日常生活与情感,to hope; to wish,HSK 2.0 Level 2
456,洗,xǐ,动词,日常生活与情感,to wash; to bathe,HSK 2.0 Level 2
457,洗手间,xǐshǒujiān,名词,日常生活与情感,restroom; toilet,HSK 2.0 Level 2
458,下来,xiàlái,动词,旅行与交通,to come down,HSK 2.0 Level 2
459,下面,xiàmiàn,名词,日常生活与情感,below; under; next,HSK 2.0 Level 2
460,下去,xiàqù,动词,旅行与交通,to go down; to continue,HSK 2.0 Level 2
461,小孩儿,xiǎohái'er,名词,日常生活与情感,child; kid,HSK 2.0 Level 2
462,小时候,xiǎoshíhou,名词,日常生活与情感,in one's childhood,HSK 2.0 Level 2
463,笑,xiào,动词,日常生活与情感,to smile; to laugh,HSK 2.0 Level 2
464,姓,xìng,动词,人际交往,to be surnamed; surname,HSK 2.0 Level 2
465,姓名,xìngmíng,名词,人际交往,full name,HSK 2.0 Level 2
466,颜色,yánsè,名词,日常生活与情感,color,HSK 2.0 Level 2
467,眼睛,yǎnjing,名词,健康与运动,eye,HSK 2.0 Level 2
468,药,yào,名词,健康与运动,medicine; drug,HSK 2.0 Level 2
469,药店,yàodiàn,名词,健康与运动,pharmacy; drugstore,HSK 2.0 Level 2
470,爷爷,yéye,名词,日常生活与情感,paternal grandfather; grandpa,HSK 2.0 Level 2
471,一会儿,yíhuìr,名词,日常生活与情感,a moment; a little while,HSK 2.0 Level 2
472,已经,yǐjīng,副词,语法功能词,already,HSK 2.0 Level 2
473,一起,yìqǐ,副词,语法功能词,together,HSK 2.0 Level 2
474,意思,yìsi,名词,日常生活与情感,meaning; idea,HSK 2.0 Level 2
475,阴,yīn,形容词,科技与环境,overcast; cloudy,HSK 2.0 Level 2
476,因为,yīnwèi,连词,语法功能词,because; since,HSK 2.0 Level 2
477,游,yóu,动词,健康与运动,to swim; to travel; to tour,HSK 2.0 Level 2
478,游泳,yóuyǒng,动词,健康与运动,to swim,HSK 2.0 Level 2
479,有意思,yǒuyìsi,形容词,消费与休闲,interesting; fun; meaningful,HSK 2.0 Level 2
480,有时,yǒushí,副词,语法功能词,sometimes; at times,HSK 2.0 Level 2
481,右,yòu,名词,日常生活与情感,right; right side,HSK 2.0 Level 2
482,右边,yòubian,名词,日常生活与情感,right side,HSK 2.0 Level 2
483,鱼,yú,名词,日常生活与情感,fish,HSK 2.0 Level 2
484,远,yuǎn,形容词,日常生活与情感,far; distant,HSK 2.0 Level 2
485,运动,yùndòng,动词,健康与运动,to exercise; sports,HSK 2.0 Level 2
486,站,zhàn,动词,旅行与交通,to stand; station; stop,HSK 2.0 Level 2
487,丈夫,zhàngfu,名词,日常生活与情感,husband,HSK 2.0 Level 2
488,这么,zhème,代词,语法功能词,so; such; like this,HSK 2.0 Level 2
489,这样,zhèyàng,代词,语法功能词,this way; like this; such,HSK 2.0 Level 2
490,着,zhe,助词,语法功能词,(aspect particle indicating continuous state),HSK 2.0 Level 2
491,正,zhèng,副词,语法功能词,straight; upright; currently,HSK 2.0 Level 2
492,周,zhōu,名词,日常生活与情感,week; cycle,HSK 2.0 Level 2
493,准备,zhǔnbèi,动词,日常生活与情感,to prepare; to get ready,HSK 2.0 Level 2
494,自己,zìjǐ,代词,语法功能词,oneself; own,HSK 2.0 Level 2
495,走,zǒu,动词,旅行与交通,to walk; to leave,HSK 2.0 Level 2
496,走路,zǒulù,动词,旅行与交通,to walk; to go on foot,HSK 2.0 Level 2
497,足球,zúqiú,名词,健康与运动,football; soccer,HSK 2.0 Level 2
498,最,zuì,副词,语法功能词,most; -est,HSK 2.0 Level 2
499,左,zuǒ,名词,日常生活与情感,left; left side,HSK 2.0 Level 2
500,左边,zuǒbian,名词,日常生活与情感,left side,HSK 2.0 Level 2
501,阿姨,āyí,名词,人际交往,auntie; nurse; maid,HSK 3.0 Level 3
502,矮,ǎi,形容词,日常生活与情感,short; low,HSK 3.0 Level 3
503,爱人,àiren,名词,日常生活与情感,spouse; husband; wife,HSK 3.0 Level 3
504,安静,ānjìng,形容词,日常生活与情感,quiet; peaceful,HSK 3.0 Level 3
505,安全,ānquán,形容词,科技与环境,safe; secure,HSK 3.0 Level 3
506,把,bǎ,介词,语法功能词,(disposal marker); to hold,HSK 3.0 Level 3
507,搬,bān,动词,日常生活与情感,to move; to shift,HSK 3.0 Level 3
508,班级,bānjí,名词,职场与教育,class; grade (in school),HSK 3.0 Level 3
509,搬家,bānjiā,动词,日常生活与情感,to move house,HSK 3.0 Level 3
510,办,bàn,动词,职场与教育,to do; to handle; to manage,HSK 3.0 Level 3
511,办法,bànfǎ,名词,职场与教育,method; way,HSK 3.0 Level 3
512,办公室,bàngōngshì,名词,职场与教育,office,HSK 3.0 Level 3
513,半天,bàntiān,名词,日常生活与情感,half a day; a long time,HSK 3.0 Level 3
514,帮助,bāngzhù,动词,人际交往,to help; to assist,HSK 3.0 Level 3
515,饱,bǎo,形容词,日常生活与情感,full; satisfied,HSK 3.0 Level 3
516,报纸,bàozhǐ,名词,消费与休闲,newspaper,HSK 3.0 Level 3
517,北,běi,名词,旅行与交通,north,HSK 3.0 Level 3
518,北方,běifāng,名词,旅行与交通,north; northern region,HSK 3.0 Level 3
519,被,bèi,介词,语法功能词,by; (passive marker),HSK 3.0 Level 3
520,笔记,bǐjì,名词,职场与教育,notes; notebook,HSK 3.0 Level 3
521,比较,bǐjiào,副词,语法功能词,fairly; comparatively; to compare,HSK 3.0 Level 3
522,笔记本,bǐjìběn,名词,科技与环境,notebook; laptop,HSK 3.0 Level 3
523,比如,bǐrú,动词,语法功能词,for example; for instance; such as,HSK 3.0 Level 3
524,比赛,bǐsài,名词,健康与运动,match; competition,HSK 3.0 Level 3
525,必须,bìxū,副词,语法功能词,must; have to,HSK 3.0 Level 3
526,变,biàn,动词,科技与环境,to change; to transform,HSK 3.0 Level 3
527,遍,biàn,量词,语法功能词,time (measure word for actions from beginning to end),HSK 3.0 Level 3
528,变成,biànchéng,动词,科技与环境,to become; to turn into,HSK 3.0 Level 3
529,变化,biànhuà,动词,科技与环境,to change; variation,HSK 3.0 Level 3
530,表演,biǎoyǎn,动词,消费与休闲,to perform; to act,HSK 3.0 Level 3
531,别的,biéde,代词,语法功能词,other; another,HSK 3.0 Level 3
532,别人,biérén,名词,人际交往,other people; others,HSK 3.0 Level 3
533,宾馆,bīnguǎn,名词,旅行与交通,hotel,HSK 3.0 Level 3
534,冰,bīng,名词,科技与环境,ice,HSK 3.0 Level 3
535,冰激凌,bīngjīlíng,名词,日常生活与情感,ice cream,HSK 3.0 Level 3
536,冰箱,bīngxiāng,名词,科技与环境,refrigerator; fridge,HSK 3.0 Level 3
537,病人,bìngrén,名词,健康与运动,patient; sick person,HSK 3.0 Level 3
538,不但,búdàn,连词,语法功能词,not only,HSK 3.0 Level 3
539,不见,bújiàn,动词,日常生活与情感,disappear; not see; see you later (negative),HSK 3.0 Level 3
540,不用,búyòng,副词,语法功能词,need not; there is no need to,HSK 3.0 Level 3
541,不同,bùtóng,形容词,日常生活与情感,different; distinct,HSK 3.0 Level 3
542,不久,bùjiǔ,名词,日常生活与情感,soon; before long; near future,HSK 3.0 Level 3
543,不行,bùxíng,形容词,人际交往,not allowed; won't do; out of the question,HSK 3.0 Level 3
544,才,cái,副词,语法功能词,only then; just,HSK 3.0 Level 3
545,菜单,càidān,名词,消费与休闲,menu,HSK 3.0 Level 3
546,参加,cānjiā,动词,人际交往,to participate; to join,HSK 3.0 Level 3
547,草,cǎo,名词,科技与环境,grass,HSK 3.0 Level 3
548,草地,cǎodì,名词,科技与环境,lawn; grassland; meadow,HSK 3.0 Level 3
549,层,céng,量词,语法功能词,floor; layer; story,HSK 3.0 Level 3
550,查,chá,动词,职场与教育,to check; to investigate; to look up,HSK 3.0 Level 3
551,差,chà,形容词,职场与教育,poor; bad; short of,HSK 3.0 Level 3
552,差不多,chàbuduō,形容词,日常生活与情感,almost; nearly; about the same,HSK 3.0 Level 3
553,尝,cháng,动词,日常生活与情感,to taste,HSK 3.0 Level 3
554,常,cháng,副词,语法功能词,often; frequently,HSK 3.0 Level 3
555,常见,chángjiàn,形容词,科技与环境,common; commonly seen,HSK 3.0 Level 3
556,常用,chángyòng,形容词,职场与教育,commonly used; in common use,HSK 3.0 Level 3
557,常常,chángcháng,副词,语法功能词,often; frequently,HSK 3.0 Level 3
558,衬衫,chènshān,名词,消费与休闲,shirt; blouse,HSK 3.0 Level 3
559,成绩,chéngjì,名词,职场与教育,score; grade; achievement,HSK 3.0 Level 3
560,城市,chéngshì,名词,旅行与交通,city; town,HSK 3.0 Level 3
561,迟到,chídào,动词,职场与教育,to be late; to arrive late,HSK 3.0 Level 3
562,出发,chūfā,动词,旅行与交通,to set out; to start off,HSK 3.0 Level 3
563,出生,chūshēng,动词,日常生活与情感,to be born,HSK 3.0 Level 3
564,出院,chūyuàn,动词,健康与运动,to be discharged from hospital,HSK 3.0 Level 3
565,初中,chūzhōng,名词,职场与教育,junior high school,HSK 3.0 Level 3
566,除了,chúle,介词,语法功能词,except; besides,HSK 3.0 Level 3
567,船,chuán,名词,旅行与交通,boat; ship,HSK 3.0 Level 3
568,春天,chūntiān,名词,科技与环境,spring,HSK 3.0 Level 3
569,词典,cídiǎn,名词,职场与教育,dictionary,HSK 3.0 Level 3
570,聪明,cōngmíng,形容词,日常生活与情感,clever; smart,HSK 3.0 Level 3
571,打扫,dǎsǎo,动词,日常生活与情感,to clean; to sweep,HSK 3.0 Level 3
572,打算,dǎsuàn,动词,日常生活与情感,to plan; to intend,HSK 3.0 Level 3
573,大概,dàgài,副词,语法功能词,probably; roughly,HSK 3.0 Level 3
574,大人,dàren,名词,日常生活与情感,adult; grown-up,HSK 3.0 Level 3
575,大小,dàxiǎo,名词,日常生活与情感,size; dimension,HSK 3.0 Level 3
576,大熊猫,dàxióngmāo,名词,科技与环境,giant panda,HSK 3.0 Level 3
577,大衣,dàyī,名词,日常生活与情感,overcoat; coat,HSK 3.0 Level 3
578,带,dài,动词,日常生活与情感,to bring; to take; to carry,HSK 3.0 Level 3
579,担心,dānxīn,动词,日常生活与情感,to worry; to be anxious,HSK 3.0 Level 3
580,蛋糕,dàngāo,名词,消费与休闲,cake,HSK 3.0 Level 3
581,当然,dāngrán,副词,语法功能词,of course; certainly,HSK 3.0 Level 3
582,到处,dàochù,副词,语法功能词,everywhere,HSK 3.0 Level 3
583,得,dé,动词,日常生活与情感,to get; to obtain,HSK 3.0 Level 3
584,得到,dédào,动词,日常生活与情感,to get; to obtain; to receive,HSK 3.0 Level 3
585,得分,défēn,动词,职场与教育,to score; score,HSK 3.0 Level 3
586,的话,dehuà,助词,语法功能词,(expressing condition) if; in case,HSK 3.0 Level 3
587,得,děi,助词,语法功能词,(structural particle used after a verb to express effect or degree),HSK 3.0 Level 3
588,灯,dēng,名词,日常生活与情感,lamp; light,HSK 3.0 Level 3
589,地,dì,助词,语法功能词,(adverbial particle),HSK 3.0 Level 3
590,地点,dìdiǎn,名词,旅行与交通,place; site; location,HSK 3.0 Level 3
591,地方,dìfang,名词,旅行与交通,place; area,HSK 3.0 Level 3
592,地图,dìtú,名词,旅行与交通,map,HSK 3.0 Level 3
593,电,diàn,名词,科技与环境,electricity,HSK 3.0 Level 3
594,电梯,diàntī,名词,旅行与交通,elevator; lift,HSK 3.0 Level 3
595,电子书,diànzǐshū,名词,科技与环境,e-book; electronic book,HSK 3.0 Level 3
596,丢,diū,动词,日常生活与情感,to lose; to throw away,HSK 3.0 Level 3
597,东,dōng,名词,旅行与交通,east,HSK 3.0 Level 3
598,东北,dōngběi,名词,旅行与交通,northeast,HSK 3.0 Level 3
599,东方,dōngfāng,名词,旅行与交通,the East; Orient,HSK 3.0 Level 3
600,东南,dōngnán,名词,旅行与交通,southeast,HSK 3.0 Level 3
601,冬天,dōngtiān,名词,科技与环境,winter,HSK 3.0 Level 3
602,懂得,dǒngde,动词,职场与教育,to understand; to know,HSK 3.0 Level 3
603,动物,dòngwù,名词,科技与环境,animal,HSK 3.0 Level 3
604,动物园,dòngwùyuán,名词,消费与休闲,zoo,HSK 3.0 Level 3
605,短,duǎn,形容词,日常生活与情感,short; brief,HSK 3.0 Level 3
606,短裤,duǎnkù,名词,日常生活与情感,shorts,HSK 3.0 Level 3
607,段,duàn,量词,语法功能词,section; paragraph,HSK 3.0 Level 3
608,锻炼,duànliàn,动词,健康与运动,to exercise; to work out,HSK 3.0 Level 3
609,对话,duìhuà,名词,人际交往,dialogue; conversation,HSK 3.0 Level 3
610,饿,è,形容词,日常生活与情感,hungry,HSK 3.0 Level 3
611,而且,érqiě,连词,语法功能词,moreover; furthermore,HSK 3.0 Level 3
612,耳朵,ěrduo,名词,健康与运动,ear,HSK 3.0 Level 3
613,耳机,ěrjī,名词,科技与环境,headphones; earphones,HSK 3.0 Level 3
614,发,fā,动词,科技与环境,to send; to issue; to emit,HSK 3.0 Level 3
615,发烧,fāshāo,动词,健康与运动,to have a fever,HSK 3.0 Level 3
616,发生,fāshēng,动词,科技与环境,to happen; to occur,HSK 3.0 Level 3
617,发现,fāxiàn,动词,日常生活与情感,to discover; to find,HSK 3.0 Level 3
618,发展,fāzhǎn,动词,科技与环境,to develop; development,HSK 3.0 Level 3
619,方便,fāngbiàn,形容词,日常生活与情感,convenient,HSK 3.0 Level 3
620,方便面,fāngbiànmiàn,名词,日常生活与情感,instant noodles,HSK 3.0 Level 3
621,方法,fāngfǎ,名词,职场与教育,method; way,HSK 3.0 Level 3
622,方向,fāngxiàng,名词,旅行与交通,direction; orientation,HSK 3.0 Level 3
623,房子,fángzi,名词,日常生活与情感,house; building,HSK 3.0 Level 3
624,放,fàng,动词,日常生活与情感,to put; to place; to release,HSK 3.0 Level 3
625,放假,fàngjià,动词,职场与教育,to have a holiday; to go on vacation,HSK 3.0 Level 3
626,放心,fàngxīn,动词,日常生活与情感,to rest assured; to feel relieved,HSK 3.0 Level 3
627,放学,fàngxué,动词,职场与教育,to finish classes; school lets out,HSK 3.0 Level 3
628,分开,fēnkāi,动词,日常生活与情感,to separate; to part,HSK 3.0 Level 3
629,风,fēng,名词,科技与环境,wind,HSK 3.0 Level 3
630,封,fēng,量词,语法功能词,measure word for letters or emails,HSK 3.0 Level 3
631,夫妻,fūqī,名词,日常生活与情感,husband and wife,HSK 3.0 Level 3
632,服务,fúwù,动词,消费与休闲,to serve; service,HSK 3.0 Level 3
633,附近,fùjìn,名词,旅行与交通,nearby; vicinity,HSK 3.0 Level 3
634,复习,fùxí,动词,职场与教育,to review; to revise,HSK 3.0 Level 3
635,该,gāi,动词,语法功能词,should; ought to; this; that,HSK 3.0 Level 3
636,干净,gānjìng,形容词,日常生活与情感,clean; neat,HSK 3.0 Level 3
637,感兴趣,gǎnxìngqù,动词,消费与休闲,to be interested in,HSK 3.0 Level 3
638,感到,gǎndào,动词,日常生活与情感,to feel; to sense,HSK 3.0 Level 3
639,感冒,gǎnmào,动词,健康与运动,to catch a cold; common cold,HSK 3.0 Level 3
640,干,gàn,动词,职场与教育,to do; to work,HSK 3.0 Level 3
641,刚,gāng,副词,语法功能词,just; barely,HSK 3.0 Level 3
642,刚才,gāngcái,名词,日常生活与情感,just now; a moment ago,HSK 3.0 Level 3
643,刚刚,gānggāng,副词,语法功能词,just; just now,HSK 3.0 Level 3
644,高铁,gāotiě,名词,旅行与交通,high-speed rail,HSK 3.0 Level 3
645,根据,gēnjù,介词,语法功能词,according to; on the basis of,HSK 3.0 Level 3
646,更,gèng,副词,语法功能词,more; even more,HSK 3.0 Level 3
647,公斤,gōngjīn,量词,语法功能词,kilogram; kilo,HSK 3.0 Level 3
648,公园,gōngyuán,名词,消费与休闲,park,HSK 3.0 Level 3
649,工作日,gōngzuòrì,名词,职场与教育,weekday; workday,HSK 3.0 Level 3
650,故事,gùshi,名词,消费与休闲,story; tale,HSK 3.0 Level 3
651,刮,guā,动词,科技与环境,to blow (wind); to shave,HSK 3.0 Level 3
652,关,guān,动词,日常生活与情感,to close; to shut; to turn off,HSK 3.0 Level 3
653,关机,guānjī,动词,科技与环境,to turn off a device; shut down,HSK 3.0 Level 3
654,关系,guānxì,名词,人际交往,relationship; relation,HSK 3.0 Level 3
655,关心,guānxīn,动词,人际交往,to care about; to be concerned about,HSK 3.0 Level 3
656,关于,guānyú,介词,语法功能词,about; regarding,HSK 3.0 Level 3
657,关注,guānzhù,动词,科技与环境,to follow; to pay close attention to,HSK 3.0 Level 3
658,国家,guójiā,名词,旅行与交通,country; nation,HSK 3.0 Level 3
659,过节,guòjié,动词,消费与休闲,to celebrate a festival,HSK 3.0 Level 3
660,过去,guòqù,名词,日常生活与情感,past; in the past,HSK 3.0 Level 3
661,海,hǎi,名词,科技与环境,sea; ocean,HSK 3.0 Level 3
662,害怕,hàipà,动词,日常生活与情感,to be afraid; to fear,HSK 3.0 Level 3
663,好多,hǎoduō,形容词,语法功能词,many; a lot of,HSK 3.0 Level 3
664,好久,hǎojiǔ,名词,日常生活与情感,a long time,HSK 3.0 Level 3
665,好像,hǎoxiàng,副词,语法功能词,as if; to seem like,HSK 3.0 Level 3
666,号码,hàomǎ,名词,科技与环境,number; digits,HSK 3.0 Level 3
667,河,hé,名词,科技与环境,river,HSK 3.0 Level 3
668,合适,héshì,形容词,日常生活与情感,suitable; fitting,HSK 3.0 Level 3
669,黑板,hēibǎn,名词,职场与教育,blackboard; chalkboard,HSK 3.0 Level 3
670,红绿灯,hóng-lǜdēng,名词,旅行与交通,traffic light,HSK 3.0 Level 3
671,后来,hòulái,名词,日常生活与情感,afterwards; later on,HSK 3.0 Level 3
672,后年,hòunián,名词,日常生活与情感,the year after next,HSK 3.0 Level 3
673,后天,hòutiān,名词,日常生活与情感,the day after tomorrow,HSK 3.0 Level 3
674,护照,hùzhào,名词,旅行与交通,passport,HSK 3.0 Level 3
675,花园,huāyuán,名词,日常生活与情感,garden,HSK 3.0 Level 3
676,画家,huàjiā,名词,消费与休闲,painter; artist,HSK 3.0 Level 3
677,欢迎,huānyíng,动词,人际交往,to welcome; to greet,HSK 3.0 Level 3
678,还,huán,副词,语法功能词,still; yet; also,HSK 3.0 Level 3
679,环境,huánjìng,名词,科技与环境,environment; surroundings,HSK 3.0 Level 3
680,换,huàn,动词,消费与休闲,to change; to exchange,HSK 3.0 Level 3
681,黄色,huángsè,名词,日常生活与情感,yellow color; yellow,HSK 3.0 Level 3
682,回答,huídá,动词,职场与教育,to answer; to reply,HSK 3.0 Level 3
683,会,huì,动词,职场与教育,can; to know how to; meeting,HSK 3.0 Level 3
684,会议,huìyì,名词,职场与教育,meeting; conference,HSK 3.0 Level 3
685,或,huò,连词,语法功能词,or; maybe,HSK 3.0 Level 3
686,或者,huòzhě,连词,语法功能词,or,HSK 3.0 Level 3
687,鸡,jī,名词,日常生活与情感,chicken,HSK 3.0 Level 3
688,几乎,jīhū,副词,语法功能词,almost; nearly,HSK 3.0 Level 3
689,机会,jīhuì,名词,职场与教育,opportunity; chance,HSK 3.0 Level 3
690,极,jí,副词,语法功能词,extremely; highly,HSK 3.0 Level 3
691,急,jí,形容词,日常生活与情感,urgent; anxious; hurried,HSK 3.0 Level 3
692,记,jì,动词,职场与教育,to remember; to write down,HSK 3.0 Level 3
693,季,jì,名词,科技与环境,season; period,HSK 3.0 Level 3
694,季节,jìjié,名词,科技与环境,season,HSK 3.0 Level 3
695,加,jiā,动词,语法功能词,to add; to plus,HSK 3.0 Level 3
696,假期,jiàqī,名词,职场与教育,holiday; vacation period,HSK 3.0 Level 3
697,坚持,jiānchí,动词,职场与教育,to persist; to insist on,HSK 3.0 Level 3
698,检查,jiǎnchá,动词,健康与运动,to check; to examine,HSK 3.0 Level 3
699,简单,jiǎndān,形容词,职场与教育,simple; uncomplicated,HSK 3.0 Level 3
700,检票,jiǎnpiào,动词,旅行与交通,to check tickets,HSK 3.0 Level 3
701,健康,jiànkāng,形容词,健康与运动,healthy,HSK 3.0 Level 3
